,Accessibility_Support,CreationDate,EditDate,GlobalID,Instructions,OBJECTID,Outside_FID,Same_Day_Results,State,Wheelchair_Accessible,agency,agencytype,agencyurl,appt_only,bulk_upload,call_first,comments,county,data_source,drive_through,end_date,facility_type,facilityid,filter,fine_print,fulladdr,health_dept_url,minimum_age_vaccine,municipality,name,numvehicles,offers_vaccine,operhours,phone,public_form,red_flag,referral_required,services_offered_onsite,start_date,status,take_home_test,test_processing,testcapacity,type_of_test,vaccine_url,vehicle_required,virtual_screening,vol_note
10,Unknown,2020-03-27T17:39:23.882Z,2021-01-30T01:58:35.488Z,37a1b0cd-a74f-4ff1-a269-8ef5ff5fbc2b,COVID-19 testing is currently offered to those who Screen Positive through our Door Screening,902.0,,,CO,Unknown,STRIDE,FQHC,https://stridechc.org/locations/,Yes,,No,,Arapahoe,,No,1970-01-01T00:00:00Z,Clinic,,,,"15132 E Hampden Ave, Aurora, CO 80014",https://www.tchd.org/,,Aurora,South Aurora Family Health Services,,Yes,Mon-Fri 8am-4pm,303-360-6276,no,,No,screening and testing,1970-01-01T00:00:00Z,Open,No,lab,,molecular,https://stridechc.org/covid-19/vaccine/,,No,
11,Unknown,2020-03-27T18:12:48.515Z,2021-01-30T01:58:35.488Z,dfedee0b-4f55-4bfd-9064-0dad8f6d43b6,The protocol is to call first. Testing is then rationed (not enough kids for 'surveillance' testing.,923.0,,,CO,Unknown,,,https://riograndehospital.org/hospital/,Yes,,Yes,,Rio Grande,,No,1970-01-01T00:00:00Z,Hospital,,,,"310 County Road 14 Del Norte, Colorado 81132",https://www.riograndecounty.org/public-health,,Del Norte,Rio Grande Hospital,,Yes,8am-5pm,719-657-2510,no,,Yes,testing only,1970-01-01T00:00:00Z,Open,No,lab,,molecular,https://riograndehospital.org/covid-19/,,Required,
12,Unknown,2020-03-27T18:16:20.686Z,2021-02-06T01:05:38.956Z,6ab140f0-58ba-490b-9343-c68cd0b4f4f4,"If symptomatic, call first.",925.0,,,GA,Unknown,"Gary C. Berliner, M.D.",Other,https://chestateeemergentcare.com/,Yes,,Yes,"no insurance accepted; non-affiliated accepted; only receive 5 kits at a time so if they are out of kits and patient meets criteria for testing - they send somewhere else that has kits
Must be symptomatic and meet criteria for testing.",Dawson,,No,1970-01-01T00:00:00Z,Clinic,,,,"2395 Thompson Rd, Dawsonville, GA 30534",https://covid19.gachd.org/,,Dawsonville,Chestatee Emergent Medical Care,,Yes,Mon-Fri 8:30am-6:30pm Sat-Sun 10am-3pm,(706) 265-6866,no,,No,screening and testing,1970-01-01T00:00:00Z,Open,No,lab,,molecular,https://dph.georgia.gov/locations/chestatee-emergent-medical-care,,,
13,Unknown,2020-03-27T18:54:04.684Z,2021-01-18T03:41:24.210Z,e2587979-46c4-4370-a7da-8a72bd8f442b,"This is a Veterans Medical Care Facility, you must be a Veteran to access this site.",956.0,,,CA,Unknown,Veterans Affairs,VA,https://www.fresno.va.gov/,Yes,,Yes,Testing is available to those that meet the requirements,Fresno,,No,1970-01-01T00:00:00Z,Hospital,,,,"2615 E Clinton Ave , Fresno 93703 CA",https://www.cdph.ca.gov/,,Fresno,VA Central California Health Care System,,Yes,"8:00 am - 4:30 pm, M-F. Closed Saturday and Sunday",559-225-6100,no,,Yes,screening and testing,1970-01-01T00:00:00Z,Testing Restricted,No,lab,,molecular,https://www.va.gov/health-care/covid-19-vaccine/,,Available,
14,Unknown,2020-03-27T19:42:58.065Z,2021-01-26T20:11:35.746Z,14474605-b428-47dd-9abd-a7a4f50c23ac,"Scheduled Appointment Online!
Call or go to the website for vaccination information. You must meet the current eligibility criteria for an appointment.",990.0,,,OH,Unknown,Blanchard Valley Health System,Non Profit,https://www.bvhealthsystem.org/media-center/news-article?&news=1526,Yes,,Yes,,Hancock,,No,1970-01-01T00:00:00Z,Hospital,,,,"1900 South Main Street, Findlay OH 45840",https://odh.ohio.gov/wps/portal/gov/odh/find-local-health-districts/hancock-public-health,,Findlay,Blanchard Valley Hospital Testing Site,,Yes,24hrs a day,419-423-7890,no,,Yes,testing only,1970-01-01T00:00:00Z,Open,No,lab,,molecular,https://www.bvhealthsystem.org/services/covid-19-information/how-do-i-get-a-covid-19-vaccine,,No,
15,Unknown,2020-03-27T22:00:18.835Z,2021-01-19T13:47:00.382Z,38e52a64-a2ad-4764-943b-e26e44cea882,"Must call Health Department for referral
Call or go to the website to make a vaccination appointment.  You must meet the current eligibility criteria for an appointment.",1041.0,,,OH,Unknown,Columbiana County,County,https://columbiana-health.org/,Yes,,Yes,,Columbiana,Columbiana County General Health District Website,No,1970-01-01T00:00:00Z,Clinic,,,no,"7360 State Route 45, Lisbon, OH 44432",https://columbiana-health.org/,,Center Township,Columbiana County General Health District,,Yes,"8:00 AM to 4:00 PM, Monday-Friday",(330) 424-0272,no,,No,testing only,1970-01-01T00:00:00Z,Open,No,lab,,molecular,,No,No,
16,Unknown,2020-03-27T22:03:24.971Z,2021-01-19T13:57:07.920Z,ca45bf26-2f9e-4728-ad00-48bb1643b6c3,"In-office vaccination clinic by appointment, to schedule call:
330-386-3590, between 9:00 AM-5:00 PM",1043.0,,,OH,Unknown,East Liverpool City Hospital,Private,https://www.elch.org/,Yes,,Yes,This is the primary testing center located outside of the main entrance off of West 5th Street.,Columbiana,"East Liverpool City Hosptial Website, The Review",Yes,1970-01-01T00:00:00Z,Hospital,,,no,"425 W. Fifth Street, East Liverpool OH 43920",https://columbiana-health.org/,,East Liverpool,East Liverpool City Hospital,1,Yes,"24 Hours/Day, 7 Days/Week",(330) 843-1501,no,,No,screening and testing,2021-01-19T05:00:00Z,Open,No,lab,,molecular,https://www.columbiana-health.org/documents/COVID-Vac-Clinic-Locations-011421.pdf,No,Available,
17,Unknown,2020-03-27T22:08:00.418Z,2021-02-01T03:33:19.490Z,33ece32b-8c6f-4f34-b7f9-d3ed11b7bd81,Must call ahead.,1048.0,,,AR,Unknown,,,https://www.bmrhc.net/,Yes,,Yes,,Searcy,,No,1970-01-01T00:00:00Z,Clinic,,,,"2263 Highway 65 North Marshall, AR 72650",https://www.healthy.arkansas.gov/,,Marshall,"Boston Mountain Rural Health Systems, Inc.",,Yes,Monday-Thursday: 7:45 am - 5:15 pm Friday: 7:45 am - 11:45 am,(870) 448-5733,no,,,screening and testing,1970-01-01T00:00:00Z,Open,No,offsite lab,,molecular,https://docs.google.com/forms/d/e/1FAIpQLSdlLtyGQE6FCHz3TkU43hYI4Zr13rBPb7T3WmRl1KPTqOLorA/viewform?usp=send_form,,,
18,Unknown,2020-03-27T22:31:10.826Z,2021-01-29T22:22:12.843Z,1dabf51a-e423-4cb0-8e47-ad5dd75256e3,Only testing those who fall into high-risk categories,1070.0,,,WA,Unknown,Peace Health Hospital,Non Profit,https://www.peacehealth.org/st-joseph-medical-center,Yes,,,Only testing those who fall into high-risk categories,Whatcom,,No,1970-01-01T00:00:00Z,,,,,"2901 Squalicum Pkwy, Bellingham, WA 98225",https://www.doh.wa.gov/Emergencies/Coronavirus,,Bellingham,PeaceHealth St. Joseph Medical Center,,Yes,24 hours,(360) 734-5400,no,,No,screening and testing,1970-01-01T00:00:00Z,Open,No,offsite lab,,molecular,https://www.peacehealth.org/coronavirus/vaccine-resources,,,
19,Unknown,2020-03-27T22:52:34.157Z,2021-01-29T22:22:12.843Z,f7a014f5-d8ea-407c-b2f3-640ec9850eb5,"When you're eligible for COVID-19 vaccination, Pullman Regional Hospital can help you schedule an appointment for a vaccine clinic at the hospital. Please call (509) 336-7722 to leave a message or email covidvaccine@pullmanregional.org. You will get a call back to schedule your appointment.",1092.0,,,WA,Unknown,Pullman Regional Hospital,Private,https://www.pullmanregional.org/,Yes,,Yes,A doctor’s order is required for all Covid-19 testing at Pullman Regional Hospital. Physicians can fax orders to 509-332-6767.,Whitman,https://www.krem.com/article/news/health/coronavirus/spokanecocoronavirustestingsite/293-20ab8636-28f3-49a6-98e3-c5fb2f120419,No,1970-01-01T00:00:00Z,Hospital,,,,"835 SE Bishop Blvd, Pullman, WA 99163",https://www.doh.wa.gov/Emergencies/Coronavirus,,Hospital,Pullman Regional Hospital,,Yes,Monday - Friday 9 a.m. to 5 p.m. ; Weekends 12 p.m. to 4 p.m.,509-336-7345,no,,Yes,screening and testing,1970-01-01T00:00:00Z,Open,No,offsite lab,,molecular,https://www.pullmanregional.org/covid-vaccine?hsCtaTracking=104d0d2f-1967-4c0b-9ce3-c91b7e32a502%7C25966ea7-ed71-4fbe-b05d-03408c20083c,,Available,
20,Unknown,2020-03-28T01:48:55.184Z,2021-01-30T01:58:35.488Z,c9dc59e0-b87a-47cf-a764-a715930a4044,"All patients and visitors will be verbally screened upon arrival for symptoms and/or exposure to the new coronavirus, COVID-19. If needed, swab tests will be administered to National Jewish Health patients only.",1164.0,,,CO,Unknown,National Jewish Health,,https://www.nationaljewish.org/patients-visitors/patient-info/important-updates/coronavirus-information-and-resources/patient-information,Yes,,Yes,"National Jewish Health has launched on-site COVID-19 testing for patients on our main campus. This is focused initially on serving our own patients and frontline health care workers, but we plan anticipate expanding testing to the broader community in the future.",Denver,,No,1970-01-01T00:00:00Z,Clinic,,,,"1400 Jackson Street, Denver, Colorado 80206",https://covid19.colorado.gov/,,Denver,National Jewish Health Main Campus,,Yes,7 days/week,303-398-1355,no,,Yes,testing only,1970-01-01T00:00:00Z,Open,No,lab,,molecular,https://www.nationaljewish.org/patients-visitors/patient-info/important-updates/coronavirus-information-and-resources/covid-19-vaccines,,No,
21,Unknown,2020-03-28T02:05:34.491Z,2021-01-30T01:58:35.488Z,5486e743-2ca9-4175-9a19-5195d60cc6d8,"Call Denver Health's NurseLine, 303-739-1211, 24/7 for timely, accurate information about COVID-19 symptoms and virtual screening for people who are experiencing symptoms.",1170.0,,,CO,Unknown,Denver Health,,https://www.denverhealth.org/patients-visitors/coronavirus,Yes,,Yes,Walk-in COVID-19 testing is not available at any Denver Health location. Testing is limited to patients with severe illnesses and symptomatic health care workers who are needed to care for other patients.,Denver,,No,1970-01-01T00:00:00Z,Clinic,,,,"777 Bannock St., Denver, CO 80204",https://covid19.colorado.gov/,,Denver,Denver Health Main Campus,,Yes,"7 a.m. - 6 p.m., M - F",(303) 436-6000,no,,Yes,testing only,1970-01-01T00:00:00Z,Open,No,lab,,molecular,https://www.denverhealth.org/patients-visitors/coronavirus,,No,
22,Unknown,2020-03-28T03:11:43.632Z,2021-01-18T03:38:29.911Z,a2e27128-0d1b-4dba-8323-1990a6b57c2b,"You need to be an established patient to be seen here-make sure you CALL FIRST BEFORE ARRIVING
Please call ahead and make an appointment.",1185.0,,No,WY,Unknown,,Private,https://www.babsonwy.com/,Yes,,Yes,"To learn more about eligibility phases, visit <a href=""https://health.wyo.gov/publichealth/immunization/wyoming-covid-19-vaccine-information/"" target=""_blank"">https://health.wyo.gov/publichealth/immunization/wyoming-covid-19-vaccine-information/</a>.",Laramie,https://www.facebook.com/617752621591833/photos/a.621952091171886/4077960972237630/?type=3,No,1970-01-01T00:00:00Z,Clinic,,,,"1331 Prairie Ave, Cheyenne, WY 82009",https://health.wyo.gov/publichealth/infectious-disease-epidemiology-unit/disease/novel-coronavirus/,,Cheyenne,Babson and Associates Primary Care,,Yes,"Monday-Saturday 7:00am - 8:00pm, Closed 12:00pm -1:00pm for lunch.",307-632-0728,no,,No,screening and testing,1970-01-01T00:00:00Z,Open,No,offsite lab,,molecular,https://www.babsonwy.com/covid-19-vaccine.html,No,No,
23,Unknown,2020-03-28T03:21:30.075Z,2021-01-18T03:41:24.210Z,92b81b56-307c-4524-a209-a459e43a0028,"The VA has a Screening Protocol in place. Upon arrival, you have your temperate taken and answer a short questionnaire. The VA is also asking people not to bring anyone with them except for the ill person, no visitors under the age of 18 years old are allowed on campus and visitors are limited to two at a time. The most important step is to CALL before you arrive. You may have to leave a message, however, you should receive a call back in no later than 15 minutes.",1190.0,,,WY,Unknown,Veterans Affairs,VA,https://www.cheyenne.va.gov/,Yes,,Yes,This information was sourced from the Cheyenne and Laramie County Geographic Information Systems (GIS) Cooperative: https://clcgisc.maps.arcgis.com/apps/webappviewer/index.html?id=285993391d9d4947a713a9cdfc0c2028,Laramie,,No,1970-01-01T00:00:00Z,Medical Center,,,,"2360 East Pershing Blvd, Cheyenne, WY 82001",https://health.wyo.gov/publichealth/infectious-disease-epidemiology-unit/disease/novel-coronavirus/,,Cheyenne,VA Medical Center,,Yes,Open 24 Hours,307-778-7550,no,,No,screening and testing,1970-01-01T00:00:00Z,Testing Restricted,No,lab,,molecular,https://www.va.gov/health-care/covid-19-vaccine/,,No,
24,Unknown,1970-01-01T00:00:00Z,2021-01-15T02:10:08.564Z,cdc9b7c6-f218-4d29-98ed-ec06eaa8c9cf,Call for appointment. This service can give you a referral to be screened if PCP referral is required and you meet all parameters of symptoms and / or CDC classification.,1201.0,,,AK,Unknown,,Regional,http://dhss.alaska.gov/dph/Nursing/Pages/South%20Central%20Public%20Health%20Center%20Pages/Dillingham-Public-Health-Center.aspx,Yes,,Yes,https://covid19.alaska.gov/,Dillingham,,No,1970-01-01T00:00:00Z,Clinic,AK,,,"125 Main Street, Dillingham, 99576",http://dhss.alaska.gov/Pages/default.aspx,,Dillingham,Dillingham Public Health Center,,Yes,"M-F 8AM - 4:30 PM, Closed 12-1PM",907-842-5981,no,,Yes,testing only,1970-01-01T00:00:00Z,Open,No,lab,,molecular,http://dhss.alaska.gov/dph/epi/id/pages/COVID-19/vaccine.aspx,,No,
25,Unknown,1970-01-01T00:00:00Z,2021-01-15T02:10:08.853Z,54a7015d-41c3-496e-b28b-4c890fbf777c,If you feel sick and have reason to believe you have COVID-19 do not go to a clinic or hospital without first calling ahead. Calling first will help the clinic or hospital prepare to greet you and take care of you in the safest possible way. Tell them that you are being monitored by public health for potential exposure to novel coronavirus and need follow up medical care and testing.,1210.0,,,AK,Unknown,Alaska Department of Health and Social Services,State,http://dhss.alaska.gov/dph/Nursing/Pages/Southeast%20Region%20Public%20Health%20Center%20Pages/Juneau-Public-Health-Center.aspx,Yes,,Yes,"2-1-1 cannot provide screening for COVID-19. Only a health care provider can give a person a referral for testing. 2-1-1 is there to answer your general questions about the disease and to assist the community with other needs (school closures, loss of jobs, etc). Again, your health care provider is who you need to call for a testing referral.",Juneau,,No,1970-01-01T00:00:00Z,Clinic,AK,,,"3412 Glacier Highway, Juneau, 99801",http://dhss.alaska.gov/Pages/default.aspx,,Juneau,Juneau Public Health Center,,Yes,Monday 8:00 AM - 6:00 PM; Tuesday-Friday; 8:00 AM - 5:00 PM,907.465.3353,no,,Yes,testing only,1970-01-01T00:00:00Z,Open,No,lab,,molecular,http://dhss.alaska.gov/dph/epi/id/pages/COVID-19/vaccine.aspx,,,
26,Unknown,1970-01-01T00:00:00Z,2021-01-15T02:10:09.043Z,6aa1d33e-011b-4cda-8131-ab44251e7b18,If you feel sick and have reason to believe you have COVID-19 do not go to a clinic or hospital without first calling ahead. Calling first will help the clinic or hospital prepare to greet you and take care of you in the safest possible way. Tell them that you are being monitored by public health for potential exposure to novel coronavirus and need follow up medical care and testing.,1214.0,,,AK,Unknown,Alaska Department of Health and Social Services,State,http://dhss.alaska.gov/dph/Nursing/Pages/Southeast%20Region%20Public%20Health%20Center%20Pages/Ketchikan-Public-Health-Center.aspx,Yes,,Yes,"If you are sick and have been diagnosed with COVID-19 or a health care provider suspects you have COVID-19 and you are waiting on test results, follow the steps below to help prevent the disease from spreading to people in your home and community.",Ketchikan Gateway,,No,1970-01-01T00:00:00Z,Clinic,AK,,,"605 Gateway Court, Ketchikan, 99901",http://dhss.alaska.gov/Pages/default.aspx,,Ketchikan,Ketchikan Public Health Center,,Yes,Monday-Friday 8:00AM - 5:00 PM,907.225.4350,no,,Yes,testing only,1970-01-01T00:00:00Z,Open,No,lab,,molecular,http://dhss.alaska.gov/dph/epi/id/pages/COVID-19/vaccine.aspx,,,
27,Unknown,1970-01-01T00:00:00Z,2021-01-15T02:10:09.269Z,9e2d8110-e38d-457c-9ff7-66c946404791,https://covid19.searhc.org/,1221.0,,,AK,Unknown,Southeast Alaska Regional Health Consortium,Non Profit,https://searhc.org/community/petersburg/,Yes,,,"For questions, please call 966.8799 (7 am - 4 pm). After hours, call the Nurse Advice Line at 1.800.613.0560",Petersburg,,No,1970-01-01T00:00:00Z,Medical Center,AK,,,"103 Fram St., Petersburg, 99833",http://dhss.alaska.gov/Pages/default.aspx,,Petersburg,Petersburg Medical Center,,Yes,"M-F 8:15AM - 5PM, SAT 8:15AM - 12PM & 1:15PM - 4:30 PM",907-772-4291,no,,,screening and testing,1970-01-01T00:00:00Z,Open,No,lab,,molecular,http://dhss.alaska.gov/dph/epi/id/pages/COVID-19/vaccine.aspx,,,
